institution,country,arwu_rank,arwu_score,tuition_in_state_usd,tuition_out_state_usd,total_cost_usd,uk_home_fee_gbp,uk_intl_fee_gbp,price_usd,rank,rank_percentile,price_percentile,value_score,united states_rank_percentile,united states_price_percentile,united states_value_score,united kingdom_rank_percentile,united kingdom_price_percentile,united kingdom_value_score
Harvard University,United States,1,100.0,59076.0,59076.0,82842.0,,,59076.0,1,100.0,11.843494790199955,64.73739791607998,100.0,11.843494790199955,64.73739791607998,,,
Stanford University,United States,2,76.3,62484.0,62484.0,82162.0,,,62484.0,2,99.5,5.845184455083071,62.03807378203322,97.43589743589743,5.845184455083071,60.79961224357168,,,
Massachusetts Institute of Technology,United States,3,75.4,60156.0,60156.0,79850.0,,,60156.0,3,99.0,9.942621796676988,63.37704871867079,94.87179487179488,9.942621796676988,60.90012564174772,,,
Princeton University,United States,6,66.7,59710.0,59710.0,80440.0,,,59710.0,6,97.5,10.727611940298516,62.791044776119406,87.17948717948718,10.727611940298516,56.59873708381171,,,
California Institute of Technology,United States,8,59.5,20515.0,20515.0,33835.0,,,20515.0,8,96.5,79.71346099690228,89.78538439876091,82.05128205128204,79.71346099690228,81.11615362953015,,,
University of Chicago,United States,9,56.5,14338.0,29360.0,26998.0,,,14338.0,9,96.0,90.5853984793016,93.83415939172065,79.48717948717949,90.5853984793016,83.92646708402833,,,
Yale University,United States,10,54.1,64700.0,64700.0,85120.0,,,64700.0,10,95.5,1.9448746831878339,58.07794987327513,76.92307692307692,1.9448746831878339,46.93179602712129,,,
Johns Hopkins University,United States,14,47.8,63340.0,63340.0,81300.0,,,63340.0,14,93.5,4.338566600957478,57.83542664038299,66.66666666666667,4.338566600957478,41.73542664038299,,,
University of Wisconsin - Madison,United States,25,38.7,11205.0,40603.0,27770.0,,,11205.0,25,88.0,96.09969022810476,91.23987609124191,38.46153846153846,96.09969022810476,61.51679916816498,,,
University of Illinois at Urbana-Champaign,United States,27,37.9,16004.0,34501.0,32134.0,,,16004.0,27,87.0,87.6531258800338,87.26125035201352,33.33333333333334,87.6531258800338,55.06125035201353,,,
Duke University,United States,28,37.5,65805.0,65805.0,82749.0,,,65805.0,28,86.5,0.0,51.9,30.769230769230774,0.0,18.461538461538463,,,
University of North Carolina at Chapel Hill,United States,32,35.9,8989.0,39330.0,25181.0,,,8989.0,32,84.5,100.0,90.69999999999999,20.51282051282051,100.0,52.30769230769231,,,
University of Colorado at Boulder,United States,34,35.2,16430.0,41943.0,33466.0,,,16430.0,34,83.5,86.90333708814418,84.86133483525768,15.384615384615387,86.90333708814418,43.99210406602691,,,
Carnegie Mellon University,United States,35,34.8,63829.0,63829.0,80514.0,,,63829.0,35,83.0,3.477893551112359,51.19115742044494,12.820512820512818,3.477893551112359,9.083465112752634,,,
University of Texas at Austin,United States,38,33.8,11678.0,42778.0,29842.0,,,11678.0,38,81.5,95.26717825964516,87.00687130385806,5.128205128205138,95.26717825964516,41.183794380781144,,,
Boston University,United States,40,33.2,65168.0,65168.0,82694.0,,,65168.0,40,80.5,1.1211630526612169,48.748465221064485,0.0,1.1211630526612169,0.4484652210644868,,,
University of Cambridge,United Kingdom,5,67.2,,,,9250.0,27048.0,34350.96,5,98.0,55.361236271472826,80.94449450858913,,,,100.0,74.84137931034483,89.93655172413793
University of Oxford,United Kingdom,16,45.4,,,,9250.0,28950.0,36766.5,16,92.5,51.10972261334835,75.94388904533935,,,,94.38775510204081,61.724137931034484,81.32230823363828
University College London,United Kingdom,18,43.2,,,,9250.0,31200.0,39624.0,18,91.5,46.08032948465222,73.33213179386088,,,,93.36734693877551,46.20689655172414,74.50316678395497
Imperial College London,United Kingdom,23,39.8,,,,9250.0,37900.0,48133.0,23,89.0,31.103914390312596,65.84156575612504,,,,90.81632653061224,0.0,54.48979591836734
King's College London,United Kingdom,33,35.6,,,,9250.0,31350.0,39814.5,33,84.0,45.7450366094058,68.69801464376232,,,,85.71428571428572,45.17241379310345,69.49753694581281
University of Edinburgh,United Kingdom,36,34.5,,,,1820.0,26500.0,33655.0,36,82.5,56.5861729090397,72.13446916361588,,,,84.18367346938776,78.62068965517241,81.95847994370162
University of Manchester,United Kingdom,41,32.9,,,,9250.0,26000.0,33020.0,41,80.0,57.70381582652774,71.0815263306111,,,,81.63265306122449,82.06896551724138,81.80717804363124
University of Bristol,United Kingdom,51,29.1,,,,9250.0,27200.0,34544.0,51,75.0,55.02147282455646,67.00858912982258,,,,76.53061224489795,73.79310344827586,75.43560872624911
London School of Economics and Political Science,United Kingdom,76,24.3,,,,9250.0,25608.0,32522.16,76,62.5,58.58004787383835,60.93201914953534,,,,63.775510204081634,84.77241379310345,72.17427163969036
University of Glasgow,United Kingdom,101,21.2,,,,1820.0,24540.0,31165.8,101,50.0,60.9673331455928,54.38693325823712,,,,51.02040816326531,92.13793103448276,67.46741731175229
University of Birmingham,United Kingdom,151,18.5,,,,9250.0,25860.0,32842.2,151,25.0,58.01675584342439,38.20670233736976,,,,25.51020408163265,83.0344827586207,48.519915552427875
University of Leeds,United Kingdom,151,18.4,,,,9250.0,23650.0,30035.5,151,25.0,62.956737538721484,40.18269501548859,,,,25.51020408163265,98.27586206896552,54.6164672765658
University of Liverpool,United Kingdom,151,18.1,,,,9250.0,23400.0,29718.0,151,25.0,63.515558997465504,40.4062235989862,,,,25.51020408163265,100.0,55.30612244897959
University of Nottingham,United Kingdom,151,18.0,,,,9250.0,25860.0,32842.2,151,25.0,58.01675584342439,38.20670233736976,,,,25.51020408163265,83.0344827586207,48.519915552427875
University of Sheffield,United Kingdom,151,17.9,,,,9250.0,23650.0,30035.5,151,25.0,62.956737538721484,40.18269501548859,,,,25.51020408163265,98.27586206896552,54.6164672765658
University of Southampton,United Kingdom,151,17.8,,,,9250.0,24400.0,30988.0,151,25.0,61.28027316248944,39.51210926499578,,,,25.51020408163265,93.10344827586206,52.54750175932442
Newcastle University,United Kingdom,201,16.0,,,,9250.0,24000.0,30480.0,201,0.0,62.174387496479866,24.869754998591947,,,,0.0,95.86206896551724,38.3448275862069
University of York,United Kingdom,201,15.5,,,,9250.0,28950.0,36766.5,201,0.0,51.10972261334835,20.443889045339343,,,,0.0,61.724137931034484,24.689655172413794
